x,y,z
-0.405911,-2.17732,0.498834
0.051185,-0.347218,0.238071
0.305836,-0.448949,0.090206
0.944274,-1.40337,-0.282124
0.954831,-1.40662,-0.288252
0.965341,-1.3845,-0.294294
0.957554,-1.33668,-0.289669
0.935789,-1.29401,-0.276952
0.885265,-1.20097,-0.247447
0.854779,-1.14836,-0.229651
0.785881,-1.02586,-0.189425
0.859531,-0.461664,-0.230818
0.722282,0.319811,-0.149444
0.645432,0.408742,-0.104686
0.629699,0.461625,-0.095443
0.709022,0.610555,-0.141085
0.812825,0.715446,-0.201021
0.851426,0.763898,-0.223287
0.861819,0.801526,-0.229225
0.873451,0.856871,-0.23584
0.732446,1.02458,-0.153708
0.462917,0.970315,0.002422
0.561602,1.19969,-0.054259
0.547731,1.26142,-0.046074
0.398736,0.935624,0.03955
0.37949,1.23691,0.051404
-0.30444,-0.397233,0.439646
-0.197945,-0.598689,0.378912
-0.502439,-2.16475,0.547642
0.858782,-1.08828,-0.220272
0.842637,-1.05797,-0.211065
0.824532,-1.02561,-0.200744
0.375574,-0.44103,0.054689
0.900167,-0.4231,-0.242165
0.900609,-0.39251,-0.242345
0.906799,-0.349896,-0.24575
0.902361,-0.061228,-0.242575
0.90025,0.358574,-0.240416
0.728815,0.41063,-0.143272
0.683886,0.418532,-0.117826
0.700323,0.567779,-0.126785
0.766262,0.628592,-0.163964
0.87444,0.726395,-0.224963
0.903755,0.859434,-0.241248
0.902634,0.928995,-0.240454
0.900232,0.951081,-0.239044
0.903022,1.00536,-0.240498
0.907538,1.06478,-0.242917
0.903632,1.15706,-0.240495
0.897148,1.20035,-0.236725
0.900937,1.21627,-0.238833
0.461367,0.942038,0.009313
0.553876,1.15181,-0.042561
0.562117,1.27494,-0.046942
-0.303812,1.22093,0.443009
-0.400665,1.27891,0.497956
-0.500008,1.07972,0.553723
-0.492858,1.02234,0.549544
-0.492805,0.953664,0.549356
-0.491854,0.907011,0.54871
-0.492002,0.881759,0.548736
-0.491067,0.801983,0.548024
-0.491523,0.795389,0.548267
-0.48767,0.740913,0.545961
-0.490774,0.694113,0.54761
-0.492848,0.649481,0.548682
-0.51841,-1.89209,0.549847
-0.517593,-1.91761,0.549337
-0.517107,-2.00581,0.548867
-0.517204,-2.07053,0.548773
